,场景名称：请具体到一个工位、动作或功能,行业,应用/装备名称,行业：请填写该场景对应的行业名称,行业：请填写该场景对应的行业名称-其他-补充内容 2,场景与方案概述：请简述该场景下的目的和动作,部件组合：为完成该场景目标动作所需的所有部件,部件组合,场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意,案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息,行业：请填写该场景对应的行业名称 Copy,部件组合：为完成该场景目标动作所需的所有部件 Copy,场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy,案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy
0,3D打印机,,3D打印机,"消费类, 制造业",,xyz轴同步配合,"工控机或单片机
   3轴定制直线电机",,"1、较高重复定位精度
   2、较低跟随误差
   3、3-8G的加速度
   4、轻量化设计小体积", ,"消费类, 制造业","工控机或单片机
   3轴定制直线电机","1、较高重复定位精度
   2、较低跟随误差
   3、3-8G的加速度
   4、轻量化设计小体积", 
1,6轴机械臂码垛机器人,,协作机器人,物流,,目的是控制机械臂末端实现6自由度的复杂运动轨迹，由工控机+6个关节实现,"工控机
   每个关节：1台无框电机+减速机+内环编码器+外环编码器+可选抱闸+直流伺服环形驱动器
   ",,"1. 末端抖动抑制
   2. 高集成度
   3. 散热通路",蓝思,物流,"工控机
   每个关节：1台无框电机+减速机+内环编码器+外环编码器+可选抱闸+直流伺服环形驱动器
   ","1. 末端抖动抑制
   2. 高集成度
   3. 散热通路",蓝思
2,XYZ轴精准雕刻控制,制造业,CNC小型雕刻机,制造业,,CNC小型雕刻机用于通过雕刻实现精密加工。直流伺服用于XYZ轴的运动控制，实现精准定位与平滑运动，确保雕刻的精度和表面质量。,,,对XYZ轴的高精度、高响应及稳定性要求较高。,,制造业,"3个直流伺服驱动, 3个直线电机, 控制器, 直线编码器",对XYZ轴的高精度、高响应及稳定性要求较高。,某机械公司用于生产高精度钢模具
3,芯片封装焊接控制,半导体设备,IC封装设备,半导体设备,,IC封装设备用于将制作好的芯片封装到封装基板上，需要实现精密的焊接控制。直流伺服驱动用于提供精确的运动控制，确保焊接头的位置和速度均达到要求，从而保证焊接质量。,,,需要高精度的位移控制与稳定的速度控制。,,半导体设备,"直流伺服驱动, 直线滑台, 控制器",需要高精度的位移控制与稳定的速度控制。,某半导体厂商封装生产线
4,水平和垂直运动控制,3C设备,RGV,物流,,RGV（可编程导引车辆）主要用于自动化仓储和物流系统中，实现物料和货物在仓库中的搬运。直流伺服驱动用于控制RGV的水平和垂直方向运动，实现精准的路径跟踪和位置控制。,,,对速度、载荷及路径跟踪精度有要求，同时需考虑能源效率与可靠性。,,物流,"直流伺服驱动, 轮子, 控制器, 编码器",对速度、载荷及路径跟踪精度有要求，同时需考虑能源效率与可靠性。,某电商巨头物流中心的自动化仓储系统
5,ZR,,贴片机场景,半导体设备,,Z+R轴控制，大部分需要力控（软着陆）功能，要求高,"PLC或工控机
   Z轴1低压直流直线电机（音圈）+直线编码器+R轴1直流旋转电机+旋转编码器+2直流驱动器+部分需要力传感器做闭环",,"1、电机震动
   2、力控功能
   3、要求极低过冲或者无过冲
   4、高节拍
   5、覆盖多种压力控制范围
   6、弹簧补偿
   7、力控误差要求高", ,半导体设备,"PLC或工控机
   Z轴1低压直流直线电机（音圈）+直线编码器+R轴1直流旋转电机+旋转编码器+2直流驱动器+部分需要力传感器做闭环","1、电机震动
   2、力控功能
   3、要求极低过冲或者无过冲
   4、高节拍
   5、覆盖多种压力控制范围
   6、弹簧补偿
   7、力控误差要求高", 
6,按摩机器人,,协作机器人,消费类,,6轴机械臂，末端有按摩头,请咨询FAE部门,,"1. 振动抑制
2. 多轴同步响应",昊志,消费类,请咨询FAE部门,"1. 振动抑制
2. 多轴同步响应",昊志
7,机械手和平台运动控制,3C设备,笔记本电脑组装生产线,3C设备,,生产线中的机械手和运动平台需要精准地定位和操作，完成对各种笔记本电脑部件的组装。直流伺服驱动用于控制机械手臂的各轴和平台的移动，确保操作精度和效率。,,,需要对多轴协调运动的高精度、高响应及稳定性控制。,,3C设备,"直流伺服驱动, 机械手臂, 控制器, 编码器",需要对多轴协调运动的高精度、高响应及稳定性控制。,某电子厂用于笔记本电脑生产线
8,XY轴切割控制,制造业,玻璃切割设备,制造业,,玻璃切割设备用于切割玻璃板，各种形状的精密切割。直流伺服用于XY轴运动控制，保证切割头的精确路径和速度，确保切割的质量和精度。,,,对XY轴的高精度控制及稳定性要求较高，并需考虑切割速度与效率。,,制造业,"2个直流伺服驱动, 直线电机, 控制器, 直线编码器",对XY轴的高精度控制及稳定性要求较高，并需考虑切割速度与效率。,某玻璃厂用于智能家居玻璃面板生产
9,高度调整与保持,建筑设备,擦玻璃升降机,其他,,擦玻璃升降机用于高层建筑外墙清洗。直流伺服用于高度调整与保持控制，确保升降机在不同高度稳定工作，同时实现升降的平滑控制。,,,需考虑高度调整的精度、平滑及安全性，特别是应对风力和负荷变化的能力。,,,"直流伺服驱动, 升降机构, 控制器",需考虑高度调整的精度、平滑及安全性，特别是应对风力和负荷变化的能力。,某建筑清洁公司用于外墙清洁设备
10,插针检测,,PCB插针检测设备,3C设备,,pcb生产线，过完波峰焊，进入检测机，控制检测头下压,"旋转伺服电机+丝杆+旋转编码器+驱动器
或：直线电机+直线编码器+驱动器",,"1. 节拍非常快 40-50ms
2. 开环力控，力控精度要求高，不能超过0.15N
3. 不能过冲",翱翔,3C设备,"旋转伺服电机+丝杆+旋转编码器+驱动器
或：直线电机+直线编码器+驱动器","1. 节拍非常快 40-50ms
2. 开环力控，力控精度要求高，不能超过0.15N
3. 不能过冲",翱翔
11,方位和角度调整,汽车电子,车载雷达,其他,,车载雷达需要通过调整方位和角度来扫描环境，实现目标检测和避障。直流伺服可用于精确控制雷达的旋转和倾斜，以确保数据采集的准确性和实时性。,,,对旋转角度和位置控制的精度要求高，同时小体积、轻质及抗震特性重要。,,,"直流伺服驱动, 方位角度调整机构, 控制器",对旋转角度和位置控制的精度要求高，同时小体积、轻质及抗震特性重要。,某电动车厂用于自动驾驶系统中的目标检测雷达
12,搭载到车上，跟踪定位、执行旋转 和俯仰的动作,,卫星转台,其他,军工设备,为了精确的跟踪定位，主要由两个动作组成，旋转和俯仰,"主控制板，客户自己研发的
旋转轴 驱动器+减速机+编码器+电机
俯仰轴 驱动器+减速机+编码器+电机",,"1、客户本身要求是要用脉冲进行速度控制
2、客户的设备会再不同的温度下进行，低温下会造成运动阻力大，摩擦大的情况，增益可能要重新配置。
3、客户控制源为脉冲，会有丢脉冲的可能性，客户主站自己做了位置闭环的PID",无项目名称、、但是可以提供支持记录https://motiong.feishu.cn/wiki/SGmmwuE2sifQAEkgFkdcc7dYnOg,其他,"主控制板，客户自己研发的
旋转轴 驱动器+减速机+编码器+电机
俯仰轴 驱动器+减速机+编码器+电机","1、客户本身要求是要用脉冲进行速度控制
2、客户的设备会再不同的温度下进行，低温下会造成运动阻力大，摩擦大的情况，增益可能要重新配置。
3、客户控制源为脉冲，会有丢脉冲的可能性，客户主站自己做了位置闭环的PID",无项目名称、、但是可以提供支持记录https://motiong.feishu.cn/wiki/SGmmwuE2sifQAEkgFkdcc7dYnOg
13,角度和位置调整,制造业,刀具磨削机,制造业,,刀具磨削机用于修复和加工刀具，需要精确控制磨头的位置和角度。直流伺服驱动用于控制XYZ轴和旋转轴，实现精密磨削，确保刀具的加工质量。,,,需对多轴的协调控制有较高要求，要求高精度、高响应和稳定性，特别是磨削力的反馈控制。,,制造业,"直流伺服驱动, 直线电机, 控制器, 编码器",需对多轴的协调控制有较高要求，要求高精度、高响应和稳定性，特别是磨削力的反馈控制。,某工具制造厂用于高精度刀具磨削机设备
14,抓取和释放控制,3C设备,电动夹爪,物流,,电动夹爪用于抓取和放置物件。直流伺服驱动用于控制夹爪的打开和闭合，实现平稳抓取和放置，并能调节抱紧和释放物体的力度，精度要求较高。,,,对夹爪开闭控制精度及力度调整要求高，同时反应速度快。,,物流,"直流伺服驱动, 夹爪机构, 控制器",对夹爪开闭控制精度及力度调整要求高，同时反应速度快。,某机器人厂用于电子元件组装流水线
15,扭矩和转速控制,电动工具,电批,电动工具,,电批（电动螺丝刀）用于自动锁紧各种螺丝。直流伺服驱动用于控制电批的扭矩和转速，确保不同螺丝的装配精度和装配速度。,,,对扭矩控制和速度调整的精度要求高，同时需兼顾体积小、易操作特点。,,电动工具,"直流伺服驱动, 电批机构, 控制器",对扭矩控制和速度调整的精度要求高，同时需兼顾体积小、易操作特点。,某家电厂用于装配生产线的自动锁螺丝工位
16,极片叠放控制,锂电设备,叠片机,锂电设备,,叠片机用于将电池极片精确叠放在一起。直流伺服驱动用于控制叠放头的XYZ轴运动，确保每一片极片的位置准确，叠放整齐，避免折叠或位置偏移。,,,要求高精度的叠放控制和快速响应，需确保高度一致性，防止极片损坏。,,锂电设备,"3个直流伺服驱动, 直线电机, 控制器, 直线编码器",要求高精度的叠放控制和快速响应，需确保高度一致性，防止极片损坏。,某电池公司用于新能源汽车电池生产线
17,多色油墨印刷机油墨推力,,印刷机,印刷,,打印机的油墨需要有一个恒定的推压力，使得打印机,未知（项目处于客户自行测试阶段，未见到设备）,, ,东方精工,印刷,未知（项目处于客户自行测试阶段，未见到设备）, ,东方精工
18,分拣和分运控制,半导体设备,分拣机,半导体设备,,分拣机用于快速分拣和分运不同规格的货物。直流伺服驱动用于控制分拣臂和输送带的运动，实现高速、准确的分拣和输送。,,,对运动控制的速度和准确性要求高，同时需兼顾分拣的稳定性和重复性。,,半导体设备,"直流伺服驱动, 分拣臂, 输送带, 控制器",对运动控制的速度和准确性要求高，同时需兼顾分拣的稳定性和重复性。,某物流中心的智能分拣系统
19,分选机,,分选机,半导体设备,,高节拍Z向运动，需力控,"PLC
   10-20轴直流旋转电机+编码器",,"1、力控
   2、高节拍
   3、高重复定位精度
   4、较小过冲或者无过冲；",,半导体设备,"PLC
   10-20轴直流旋转电机+编码器","1、力控
   2、高节拍
   3、高重复定位精度
   4、较小过冲或者无过冲；",
20,叶片调整和控制,能源,风力发电机组控制系统,其他,,风力发电机组用于捕捉风能并转换为电能。直流伺服用于控制叶片的调整角度，以最大化能量捕捉和优化功率输出。,,,需高精度的角度控制和响应速度，以及较大扭矩和耐久性，适应各种气候条件。,,,"直流伺服驱动, 叶片控制机构, 控制器",需高精度的角度控制和响应速度，以及较大扭矩和耐久性，适应各种气候条件。,某风电场用于风力发电机组叶片控制系统
21,改设备用于汽车制造，是一种拧紧螺丝的设备，动作仅仅是旋转,,电动螺丝刀,锂电设备,,通过速度和力矩控制的结合，完成螺丝的拧紧,"主站：自研开发板，走CAN总线
从站1：驱动器+编码器+电机+减速机
从站2：把手板",,"1、客户使用的电机性能比较极限，要求电机有很大的峰值电流
2、电机的保护放开很多，和没有保护差不多了
3、期间发生过没有接制动电阻，导致电源电压减速过程中出现尖峰，导致驱动器编码器烧毁的情况
4、期间发生过，编码器的屏蔽线接到GND的情况，导致编码器烧毁的问题。",无项目编号，但是可以提供支持记录https://motiong.feishu.cn/wiki/JSrwwMVqyiNj2zk9dM2ckT9lnwg,锂电设备,"主站：自研开发板，走CAN总线
从站1：驱动器+编码器+电机+减速机
从站2：把手板","1、客户使用的电机性能比较极限，要求电机有很大的峰值电流
2、电机的保护放开很多，和没有保护差不多了
3、期间发生过没有接制动电阻，导致电源电压减速过程中出现尖峰，导致驱动器编码器烧毁的情况
4、期间发生过，编码器的屏蔽线接到GND的情况，导致编码器烧毁的问题。",无项目编号，但是可以提供支持记录https://motiong.feishu.cn/wiki/JSrwwMVqyiNj2zk9dM2ckT9lnwg
22,取放运动控制,半导体设备,高速取放机,半导体设备,,高速取放机用于从传送带上快速拾取并放置元件。直流伺服用于控制XY轴和Z轴，实现高速、精确的拾取和放置动作，保证生产效率和产品品质。,,,需对高速拾取和放置的精度和速度要求高，并需较高的同步性和稳定性。,,半导体设备,"3个直流伺服驱动, 直线电机, 控制器, 编码器",需对高速拾取和放置的精度和速度要求高，并需较高的同步性和稳定性。,某半导体公司用于芯片生产的高速取放设备
23,多轴协调控制,交通运输,高铁检测设备,交通运输,,高铁检测设备用于检测铁轨和列车的状态。直流伺服驱动用于控制检测传感器的多轴协调运动，确保每个检测点的精度和效率，提供实时数据反馈。,,,需高精度、多轴协调的控制能力和实时性，适应高速运动和环境变化。,,交通运输,"直流伺服驱动, 多轴协调机构, 控制器",需高精度、多轴协调的控制能力和实时性，适应高速运动和环境变化。,某铁路公司用于高铁检测系统
24,压力与注射控制,医药器械,高压注射器设备,医药器械,,高压注射器设备用于向患者或样品中注射精确剂量的液体。直流伺服驱动用于控制注射器的推动和回拉，实现精确的注射剂量和注射速度。,,,对注射控制的精度、稳定性和安全性要求高，并需考虑过载保护和故障检测。,,医药器械,"直流伺服驱动, 注射机构, 控制器",对注射控制的精度、稳定性和安全性要求高，并需考虑过载保护和故障检测。,某医院用于精确药物注射设备
25,割草路径控制,协作机器人,割草机器人,电动工具,,割草机器人自动完成割草作业。直流伺服驱动用于控制机器人的前进、转向以及割草刀片的旋转，实现精确的割草路径控制和草坪的均匀修整。,,,对路径控制的精度、割草刀片的速度和稳定性要求高，并考虑低噪音和节能。,,,"直流伺服驱动, 割草刀片, 车轮模块, 控制器",对路径控制的精度、割草刀片的速度和稳定性要求高，并考虑低噪音和节能。,某园艺设备公司推出的自动割草机器人
26,晶体绑定和对位控制,半导体设备,固晶机,半导体设备,,固晶机用于将芯片贴合在支架上，并确保精确对位。直流伺服驱动用于控制贴合头的XYZ轴运动实现精确定位和贴合动作，保证每颗芯片的位置和固定效果。,,,要求高精度的对位和贴合控制，以及快速响应，实现高速、高效生产。,,半导体设备,"3个直流伺服驱动, 直线电机, 控制器, 直线编码器",要求高精度的对位和贴合控制，以及快速响应，实现高速、高效生产。,某LED厂商用于芯片封装生产线
27,多轴控制及焊接精度,制造业,管道焊接,制造业,,管道焊接设备用于焊接大型管道，直流伺服用于控制焊接头和管道的位置，实现高度精度的多轴焊接，并确保焊缝质量符合标准要求。,,,对多轴控制和焊接精度要求高，需应对各种材质和直径的管道。,,制造业,"多个直流伺服驱动, 焊接头, 管道支撑机构, 控制器",对多轴控制和焊接精度要求高，需应对各种材质和直径的管道。,某石油公司用于管道焊接施工现场
28,灌装位置及量控制,食品,灌装生产线,食品,,灌装生产线用于将液体或粉体精确灌装到容器中。直流伺服用于控制灌装头的位置及灌装量，实现高精度、高速度的灌装作业，确保产品的质量和一致性。,,,对灌装控制的精度、速度和稳定性要求高，需处理不同粘度和流变特性的液体。,,,"直流伺服驱动, 灌装头, 输送带, 控制器",对灌装控制的精度、速度和稳定性要求高，需处理不同粘度和流变特性的液体。,某饮料厂用于自动化灌装生产线
29,输送带驱动控制,食品,灌装输送线,食品,,灌装输送线用于运输容器到灌装工位。直流伺服用于控制输送带的速度和位置，确保容器的稳定运输和准确定位，支持连续、高效的生产流程。,,,对输送带的速度控制精度、稳定性和可靠性要求高，并考虑节能方案。,,,"直流伺服驱动, 输送带系统, 控制器",对输送带的速度控制精度、稳定性和可靠性要求高，并考虑节能方案。,某化妆品厂用于自动化灌装输送线
30,三轴稳定控制,航空航天,光电吊舱,影视制作,,光电吊舱用于空中监视、摄影等应用。直流伺服用于控制吊舱的三轴稳定，确保设备在运动状态下能够稳定瞄准和拍摄，提供高清且稳定的视频图像。,,,对三轴的高速响应、高精度控制和稳定性要求特别高，并需应对外部扰动和振动。,,,"直流伺服驱动, 三轴稳定系统, 摄像头, 控制器",对三轴的高速响应、高精度控制和稳定性要求特别高，并需应对外部扰动和振动。,某无人机公司用于无人机的光电吊舱系统
31,光伏设备丝网印卷纸送料工位,,丝网印刷机,制造业,,一个皮带输送线设备,通用伺服应用，1个伺服，电机带同步带，同步带带减速机，双编码器，电机一个编码器，减速机末端有一个外置编码器,,"1. 双闭环
2. 速度响应要快
3. 定位准确性要高
4. 电机转速要求高","大族光伏：目标线速度 1m/s，加减速 5m/s2, 卷纸直径会变，电机转速5000rpm；有体积要求，电机功率密度要求高",制造业,通用伺服应用，1个伺服，电机带同步带，同步带带减速机，双编码器，电机一个编码器，减速机末端有一个外置编码器,"1. 双闭环
2. 速度响应要快
3. 定位准确性要高
4. 电机转速要求高","大族光伏：目标线速度 1m/s，加减速 5m/s2, 卷纸直径会变，电机转速5000rpm；有体积要求，电机功率密度要求高"
32,   光热发电定日镜,,定日镜,其他,光热,   目的是控制定日镜角度,"PLC
主轴：伺服电机+霍尔编码器+减速机+丝杆
副轴：伺服电机+霍尔编码器+减速机+丝杆",,场景定制功能较多,东锅,其他,"PLC
主轴：伺服电机+霍尔编码器+减速机+丝杆
副轴：伺服电机+霍尔编码器+减速机+丝杆",场景定制功能较多,东锅
33,高速打标控制,激光设备,光纤激光标刻机,激光设备,,光纤激光标刻机用于在产品表面进行激光打标。直流伺服用于控制打标头的XYZ轴运动，实现高精度、高速的标记操作，适用于各种材料和形状的产品。,,,对XYZ轴的高精度控制和快速响应要求高，需确保光纤激光的稳定性和功率匹配。,,激光设备,"3个直流伺服驱动, 光纤激光器, XYZ轴机构, 控制器",对XYZ轴的高精度控制和快速响应要求高，需确保光纤激光的稳定性和功率匹配。,某手机厂用于手机壳的激光打标生产线
34,器件定位和切割控制,半导体设备,光学纤维切割机,半导体设备,,光学纤维切割机用于精确切割光纤。直流伺服用于控制切割头的位置和运动，实现高精度、高稳定性的切割操作，确保切口平整、不损伤光纤芯。,,,对XYZ轴的精度控制和切割稳定性要求极高，需考虑光纤的特殊材质和操作环境。,,半导体设备,"直流伺服驱动, 切割头, XYZ轴机构, 控制器",对XYZ轴的精度控制和切割稳定性要求极高，需考虑光纤的特殊材质和操作环境。,某光通信公司用于光纤切割生产线
35,焊接工位控制,锂电设备,焊片机,锂电设备,,焊片机用于焊接电子元件或电池组件的连接片。直流伺服用于控制焊接头的XYZ轴运动，确保焊接位置的精度和焊点质量，提高焊接效率。,,,对XYZ轴的高精度运动控制和焊接质量要求高，操作需快速响应，焊点稳定可靠。,,锂电设备,"3个直流伺服驱动, 焊接头, XYZ轴机构, 控制器",对XYZ轴的高精度运动控制和焊接质量要求高，操作需快速响应，焊点稳定可靠。,某电池厂用于锂电池或LED组件的自动焊接
36,扫描角度控制,国防,红外干扰设备,其他,,红外干扰设备用于发射红外信号干扰敌方设备。直流伺服用于调整发射器的角度和方位，以确保信号覆盖目标区域，实现高效干扰。,,,对角度控制的精度、响应速度和稳定性要求高，适应各种外部环境影响。,,,"直流伺服驱动, 角度调整机构, 控制器",对角度控制的精度、响应速度和稳定性要求高，适应各种外部环境影响。,某军工企业用于战机上的红外干扰系统
37,弧面打印控制,印刷,弧面丝印设备,印刷,,弧面丝印设备用于在弧面物体上进行丝网印刷。直流伺服用于控制印刷头的运动，实现均匀的墨料铺设和精确的图案定位，确保印刷品质。,,,对XYZ轴高精度运动和印刷头的均匀运动控制要求高，需确保印刷一致性和图案清晰度。,,印刷,"直流伺服驱动, 印刷头, XYZ轴机构, 控制器",对XYZ轴高精度运动和印刷头的均匀运动控制要求高，需确保印刷一致性和图案清晰度。,某包装公司用于弧面容器的丝网印刷生产线
38,器件切割控制,半导体设备,划片机,半导体设备,,划片机用于切割半导体晶圆或LED晶片。直流伺服用于控制刀头的XYZ轴运动，实现高精度的划片操作，确保切割路径精确，质量可靠。,,,对XYZ轴高精度运动控制和刀头的稳定性要求高，防止损坏晶片和提高划片速度。,,半导体设备,"3个直流伺服驱动, 刀头, XYZ轴机构, 控制器",对XYZ轴高精度运动控制和刀头的稳定性要求高，防止损坏晶片和提高划片速度。,某半导体公司用于晶圆生产的划片工序
