,场景名称：请具体到一个工位、动作或功能,行业,应用/装备名称,行业：请填写该场景对应的行业名称,行业：请填写该场景对应的行业名称-其他-补充内容 2,场景与方案概述：请简述该场景下的目的和动作,部件组合：为完成该场景目标动作所需的所有部件,部件组合,场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意,案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息,行业：请填写该场景对应的行业名称 Copy,部件组合：为完成该场景目标动作所需的所有部件 Copy,场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy,案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy
133,自动化天线测量系统,半导体设备,天线测量设备,半导体设备,,天线测量系统需要精确地控制天线的位置和角度。目的：实现精确的天线测量结果。该场景涉及X、Y、Z轴和旋转轴的协调运动。,,,高精度、高速度和高稳定性的运动控制，以确保测量结果的可靠性。,,半导体设备,驱动电机、旋转平台、编码器、工业控制器、伺服驱动器、测试传感器,要求：高精度、高速度和高稳定性的运动控制，以确保测量结果的可靠性。,欧洲某通信企业的天线测量系统应用案例
134,自动化贴标机,包装设备,贴标机,制造业,,贴标机需要精确地控制标签的卷放和贴标位置。目的：提高贴标的准确性和效率。该场景涉及X轴和卷轴的协调运动。,,,高精度、高速度和高稳定性的运动控制，以确保每一个标签的位置准确。,,,驱动电机、卷纸机、编码器、工业控制器、伺服驱动器,要求：高精度、高速度和高稳定性的运动控制，以确保每一个标签的位置准确。,某国际知名饮料企业的自动化贴标机应用案例
135,自动化药品分拣系统,医药器械,药品分拣机,医药器械,,药品分拣系统需要精确地控制分拣机械的动作。目的：提高药品分拣的效率和准确性。该场景涉及X、Y、Z轴的协调运动。,,,高精度、高速度和高稳定性的运动控制，以确保分拣过程的顺利。,,医药器械,驱动电机、直线导轨、编码器、抓取装置、工业控制器、伺服驱动器,要求：高精度、高速度和高稳定性的运动控制，以确保分拣过程的顺利。,某大型制药企业的药品分拣系统应用案例
136,自动化印刷设备,印刷,印刷机,印刷,,印刷设备需要精确地控制印刷头的位置和速度。目的：实现高质量的印刷效果。该场景涉及X、Y轴的平面运动。,,,高精度、高速度和高稳定性的运动控制，以确保印刷效果的均匀性和质量。,,印刷,驱动电机、印刷头、编码器、工业控制器、伺服驱动器,要求：高精度、高速度和高稳定性的运动控制，以确保印刷效果的均匀性和质量。,某国际知名出版企业的自动化印刷设备应用案例
137,自动化折弯机,制造业,折弯机,制造业,,折弯机需要精确地控制折弯角度和折弯力。目的：实现高质量的金属折弯。该场景涉及X、Y、Z轴的协调运动。,,,高精度、高速度和高稳定性的运动控制，以确保每一次折弯的精度和质量。,,制造业,驱动电机、折弯头、编码器、工业控制器、伺服驱动器,要求：高精度、高速度和高稳定性的运动控制，以确保每一次折弯的精度和质量。,某大型机械加工企业的自动化折弯机应用案例
138,自动化制药设备,制药,制药机,医药器械,,制药设备需要精确地控制原料的混合和分配。目的：提高制药的效率和质量。该场景涉及X、Y、Z轴的协调运动。,,,高精度、高速度和高卫生标准的运动控制。,,,驱动电机、混合器、编码器、工业控制器、伺服驱动器,要求：高精度、高速度和高卫生标准的运动控制。,某大型制药企业的自动化制药设备应用案例
139,自动化装袋机,包装设备,装袋机,制造业,,装袋机需要精确地控制袋子的移动和封口位置。目的：提高装袋的效率和质量。该场景涉及X轴和卷轴的协调运动。,,,高精度、高速度和高稳定性的运动控制，以确保每一个袋子的封口位置准确。,,,驱动电机、装袋头、编码器、工业控制器、伺服驱动器,要求：高精度、高速度和高稳定性的运动控制，以确保每一个袋子的封口位置准确。,某知名食品企业的自动化装袋机应用案例
140,自动气动锁钉设备,建筑设备,锁钉机,其他,,锁钉设备需要精确地控制锁钉头的位置和锁钉力。目的：提高锁钉的效率和准确性。该场景涉及X、Y、Z轴的协调运动。,,,高精度、高速度和高稳定性的运动控制，以确保每一个锁钉动作的准确性。,,,驱动电机、锁钉头、编码器、工业控制器、伺服驱动器,要求：高精度、高速度和高稳定性的运动控制，以确保每一个锁钉动作的准确性。,某汽车制造企业的自动化锁钉设备应用案例
141,自动售货机,零售业,售货机,消费类,,售货机需要精确地控制货物的移动和投放位置。目的：提高售货的效率和准确性。该场景涉及X轴和卷轴的协调运动。,,,高精度、高速度和高稳定性的运动控制，以确保每一个货物的投放位置准确。,,,驱动电机、投放头、编码器、工业控制器、伺服驱动器,要求：高精度、高速度和高稳定性的运动控制，以确保每一个货物的投放位置准确。,某国际知名零售企业的自动售货机应用案例
142,自动输液泵,医药器械,输液泵,医药器械,,输液泵需要精确地控制输液速度和输液量。目的：提高输液的安全性和准确性。该场景涉及X轴的运动。,,,高精度、高速度和高安全性的运动控制，以确保每次输液过程的准确性。,,医药器械,驱动电机、泵头、编码器、工业控制器、伺服驱动器,要求：高精度、高速度和高安全性的运动控制，以确保每次输液过程的准确性。,某国际知名医疗设备企业的自动输液泵应用案例
143,自动物流分拣系统,3C设备,分拣系统,物流,,物流分拣系统需要精确地控制分拣机械的动作。目的：提高物流分拣的效率和准确性。该场景涉及X、Y、Z轴的协调运动。,,,高精度、高速度和高稳定性的运动控制，以确保分拣过程的顺利。,,物流,驱动电机、抓取设备、编码器、工业控制器、伺服驱动器,要求：高精度、高速度和高稳定性的运动控制，以确保分拣过程的顺利。,某大型物流企业的自动化分拣系统应用案例
144,CNC加工中心刀塔的换刀,,CNC加工中心刀塔换刀系统,制造业,,CNC加工中心的刀塔换刀需要快速、精准的控制，目的确保换刀过程中不影响加工精度和效率。此场景涉及旋转轴和Z轴的协调运动。,,,高响应速度、高精度和高可靠性的运动控制，以确保换刀过程的平稳和准确。,,制造业,驱动电机、换刀设备、编码器、工业控制器、伺服驱动器,要求：高响应速度、高精度和高可靠性的运动控制，以确保换刀过程的平稳和准确。,德国某机械制造企业的CNC换刀系统应用案例
145,点到点运动，视觉拍照,,电子烟视觉检测设备,"半导体设备, 消费类",,"应用场景：车载生产组装设备的工序之一，Ethercat通讯，Increase feedback,262144ppr,旋转电机，搭载一个镜片，实现Point to Point 运动；要求：定位精度±5counts",直线定位平台，DD马达，视觉,,到位整定时间,,"半导体设备, 消费类",直线定位平台，DD马达，视觉,到位整定时间,
146,音圈以设定力按压屏幕,,多模态检测设备,"半导体设备, 3C设备",,"单向水平施力
双向水平施力
垂直向上施力
按压检测",结构，控制，驱动,,,https://motiong.feishu.cn/docx/U0UjdM99soyomIxTF0jcHoDwnmb?from=from_copylink,"半导体设备, 3C设备",结构，控制，驱动,,https://motiong.feishu.cn/docx/U0UjdM99soyomIxTF0jcHoDwnmb?from=from_copylink
147,用音圈电机音量按键,,VIVO音量按键检测设备,3C设备,,软着陆,音圈，驱动，力传感器，控制器,,力控精度,,3C设备,音圈，驱动，力传感器，控制器,力控精度,
148,自动化装配线上的精密定位与搬运,,自动装配机械臂,制造业,,目的是在汽车零件装配线上，实现对不同零件的精确抓取、搬运和放置。该过程需要机械臂具备高精度的位置控制能力，以及快速响应速度，以适应高速生产线的需求。,工控机；x轴：1台直线电机+直线编码器+低压伺服驱动器；y轴：1台直线电机+直线编码器+低压伺服驱动器；z轴：1台旋转伺服电机+丝杆传动+旋转编码器+低压伺服驱动器；末端执行器：多自由度机械手+力矩传感器,,1.需考虑机械臂在高速运动过程中的稳定性和准确性，避免零件损伤。2.控制系统需与生产线上的其他设备协同工作，实现无缝集成。3.末端执行器需要能够根据不同零件的形状和重量，调整抓取力度，防止损坏零件。4.整个系统应具备易于操作的人机界面，方便工人进行设置和调整。,,制造业,工控机；x轴：1台直线电机+直线编码器+低压伺服驱动器；y轴：1台直线电机+直线编码器+低压伺服驱动器；z轴：1台旋转伺服电机+丝杆传动+旋转编码器+低压伺服驱动器；末端执行器：多自由度机械手+力矩传感器,1.需考虑机械臂在高速运动过程中的稳定性和准确性，避免零件损伤。2.控制系统需与生产线上的其他设备协同工作，实现无缝集成。3.末端执行器需要能够根据不同零件的形状和重量，调整抓取力度，防止损坏零件。4.整个系统应具备易于操作的人机界面，方便工人进行设置和调整。,
149,电批,,电动螺丝刀,电动工具,,位置、力矩控制,1旋转伺服电机（含编码器或霍尔）+1减速机+1dc伺服驱动器（485或can）+1自研主站,,"1. 高速旋转时力矩控制
2. 力矩切换要快
3. 力矩峰值要控制的好，不能有太大力矩尖峰",艾尔特,电动工具,1旋转伺服电机（含编码器或霍尔）+1减速机+1dc伺服驱动器（485或can）+1自研主站,"1. 高速旋转时力矩控制
2. 力矩切换要快
3. 力矩峰值要控制的好，不能有太大力矩尖峰",艾尔特
150,全栈仪,,三维全栈仪,测绘行业,,地形测绘,"两轴，一个底盘轴：电机+减速机+驱动器+编码器（包含读数头、解码器和栅尺，是模拟量正余弦信号，要转成ABZ）
另一个轴控制俯仰，也是同样的配置，
一个解码器带两路编码器",,"1. 控制精度要高
2. 速度不快，速动波动要小
3. 抗扰动性要强
4. 有零速阻尼的功能要求",,测绘行业,"两轴，一个底盘轴：电机+减速机+驱动器+编码器（包含读数头、解码器和栅尺，是模拟量正余弦信号，要转成ABZ）
另一个轴控制俯仰，也是同样的配置，
一个解码器带两路编码器","1. 控制精度要高
2. 速度不快，速动波动要小
3. 抗扰动性要强
4. 有零速阻尼的功能要求",
151,细胞检测相机的位置控制,,细胞检测设备,医药器械,,xyz平台，xy控制位置，z轴控制焦距。平台上有100多个细胞载片，要一个一个的移动过去拍照,"xy轴：棒状电机+
z轴：音圈电机",,"1. xy轴编码器分辨率要求高 0.5um
2. xy轴高频点动，点动过程不能有抖动
3. 定位要准，整定速度要快，不能有S型曲线，要做T型曲线
4. 棒状电机相当于单边龙门，机械刚度较低，要做较多的振动抑制",,医药器械,"xy轴：棒状电机+
z轴：音圈电机","1. xy轴编码器分辨率要求高 0.5um
2. xy轴高频点动，点动过程不能有抖动
3. 定位要准，整定速度要快，不能有S型曲线，要做T型曲线
4. 棒状电机相当于单边龙门，机械刚度较低，要做较多的振动抑制",
152,扫描装置：需要非常精确和平滑的控制来定位设备的各个部分，确保影像的准确性和一致性。,,CT扫描仪的定位系统,医药器械,,医疗影像设备的精确定位控制,"控制系统：高性能工控机；
患者支撑台移动x轴：1台直线电机 + 直线编码器 + 直流伺服驱动器；
患者支撑台移动y轴：1台直线电机 + 直线编码器 + 直流伺服驱动器；
扫描装置垂直移动z轴：1台直线电机 + 直线编码器 + 直流伺服驱动器；
扫描装置旋转控制：旋转伺服电机 + 旋转编码器 + 直流伺服驱动器；",,"1、高精度和重复性：确保设备各轴的精准控制，以达到高水平的影像一致性和诊断准确性。
2、速度与平滑性：直流伺服驱动器需提供快速和极其平滑的运动控制，以减少影像噪点和提升扫描清晰度。
3、可靠性和耐用性：考虑到医疗设备的高使用频率和对稳定性的严格要求，系统必须设计得既可靠又耐用。
4、易于操作和维护：用户界面需简洁直观，便于医护人员操作和设定，同时系统应设计方便维护和升级。
5、安全性考虑：系统设计必须符合严格的医疗设备安全标准，包括患者安全和操作安全。",医疗CT/X光扫描及病床运动控制-上海步科自动化股份有限公司_Kinco步科,医药器械,"控制系统：高性能工控机；
患者支撑台移动x轴：1台直线电机 + 直线编码器 + 直流伺服驱动器；
患者支撑台移动y轴：1台直线电机 + 直线编码器 + 直流伺服驱动器；
扫描装置垂直移动z轴：1台直线电机 + 直线编码器 + 直流伺服驱动器；
扫描装置旋转控制：旋转伺服电机 + 旋转编码器 + 直流伺服驱动器；","1、高精度和重复性：确保设备各轴的精准控制，以达到高水平的影像一致性和诊断准确性。
2、速度与平滑性：直流伺服驱动器需提供快速和极其平滑的运动控制，以减少影像噪点和提升扫描清晰度。
3、可靠性和耐用性：考虑到医疗设备的高使用频率和对稳定性的严格要求，系统必须设计得既可靠又耐用。
4、易于操作和维护：用户界面需简洁直观，便于医护人员操作和设定，同时系统应设计方便维护和升级。
5、安全性考虑：系统设计必须符合严格的医疗设备安全标准，包括患者安全和操作安全。",医疗CT/X光扫描及病床运动控制-上海步科自动化股份有限公司_Kinco步科
153,半导体制造中的晶圆搬运和定位系统,,晶圆自动化搬运机器人,半导体设备,,在半导体制造过程中，晶圆的精确搬运和定位,"控制系统：高性能工控机；
多轴机械臂：含电机 + 编码器 + 直流伺服驱动器；",,"1、高精度和重复性：确保所有运动轴的精准和重复性控制，以满足半导体制造的严格公差要求；
2、平滑无振动的运动：直流伺服驱动器必须提供极其平滑的运动控制，以防止晶圆在搬运过程中产生任何振动或偏移，避免损伤；
3、快速响应和高效率：系统应具备快速响应能力，以适应半导体生产线的高吞吐量需求；
4、易于集成和控制：系统应能轻松集成到现有的半导体制造线中，同时提供简洁明了的操作界面，便于操作和维护。",新松半导体设备,半导体设备,"控制系统：高性能工控机；
多轴机械臂：含电机 + 编码器 + 直流伺服驱动器；","1、高精度和重复性：确保所有运动轴的精准和重复性控制，以满足半导体制造的严格公差要求；
2、平滑无振动的运动：直流伺服驱动器必须提供极其平滑的运动控制，以防止晶圆在搬运过程中产生任何振动或偏移，避免损伤；
3、快速响应和高效率：系统应具备快速响应能力，以适应半导体生产线的高吞吐量需求；
4、易于集成和控制：系统应能轻松集成到现有的半导体制造线中，同时提供简洁明了的操作界面，便于操作和维护。",新松半导体设备
154,锂电制造生产线,,升降台FTS系统,锂电设备,,使用磁悬浮技术，实现无线缆，无粉尘的磁悬浮线体，定位精度达到um级，支持异步控制,控制器+n*(驱动器+编码器+线圈)+导轨+m * （小车+磁栅+磁铁）+  2*（直线模组+中压驱动器）+ RFID系统,,1. 机电一体化 2. 高节拍 3. 无粉尘 4. 软件实现柔性生产,艾美珈-金源精密,锂电设备,控制器+n*(驱动器+编码器+线圈)+导轨+m * （小车+磁栅+磁铁）+  2*（直线模组+中压驱动器）+ RFID系统,1. 机电一体化 2. 高节拍 3. 无粉尘 4. 软件实现柔性生产,艾美珈-金源精密
155,锂电制造生产线,,环形FTS系统,锂电设备,,使用磁悬浮技术，实现无线缆，无粉尘的磁悬浮线体，定位精度达到um级，支持异步控制,控制器+n*(驱动器+编码器+线圈)+导轨+m * （小车+磁栅+磁铁) +RFID系统,,1. 机电一体化 2. 高节拍 3. 无粉尘 4. 软件实现柔性生产,艾美珈-CATL,锂电设备,控制器+n*(驱动器+编码器+线圈)+导轨+m * （小车+磁栅+磁铁) +RFID系统,1. 机电一体化 2. 高节拍 3. 无粉尘 4. 软件实现柔性生产,艾美珈-CATL
156,锂电物流生产线,,环形FTS系统,锂电设备,,使用磁悬浮技术，实现无线缆，无粉尘的磁悬浮线体，定位精度达到um级，支持异步控制，多岔路分支，超长线体,控制器 * x+n*(驱动器+编码器+线圈)+导轨+m * （小车+磁栅+磁铁) + j *（直线模组+中压驱动器）+ k *（旋转模组+中压驱动器）,,1. 机电一体化 2. 高节拍 3. 无粉尘 4. 软件实现柔性生产 5. 分段控制,果栗-金源精密,锂电设备,控制器 * x+n*(驱动器+编码器+线圈)+导轨+m * （小车+磁栅+磁铁) + j *（直线模组+中压驱动器）+ k *（旋转模组+中压驱动器）,1. 机电一体化 2. 高节拍 3. 无粉尘 4. 软件实现柔性生产 5. 分段控制,果栗-金源精密
157,芯片贴装,,固晶机/贴片机,半导体设备,,垂直向下快速运动，取物料，上层装置带动挪了位置后，再垂直向下做压力控制运动，放物料,音圈电机，EtherCAT通讯类型驱动器，ECAT控制器，有时还需结合气管，气动吸取与放物料,,压力控制会跟随加工产品不同，而需设定不同的目标压力以防止压坏物料。,,,,,
158,手臂旋转部位,,晶圆搬运,半导体设备,,控制两个手臂旋转至晶圆片两侧，同时夹取晶圆，将物料搬运至另一端并放下，类似夹爪的动作,旋转轴为力矩电机，Z轴为旋转+丝杆，驱动器，ECAT或CANopen控制器,,设备集成，驱动器需安装在旋转部位内，对体积与安装有要求。,中科芯微，富创精密，新松客户均是该应用,,,,
159,XY方向（有些是XYR）精密定位,,精密运动台（较小的方形物料台）,"3C设备, 半导体设备",,通过3个轴的精确定位，调整运动台上搭载的物料对齐某个位置,X与Y两个方向的直线电机，R轴则加上旋转电机，驱动器，ECAT控制器,,常需要较高的定位精度与较快的运行速度，对重复定位精度和到位整定时间会有高要求。搭载负载较重（10kg以内）时，会有振动影响，需要振动抑制功能。,,,,,
160,其一旋转轴负责转动加工台来将物料运送到加工位，其二旋转轴负责上下物料、维持物料张力。均是旋转运动。,,丝网印刷机,印刷,,印刷机旋转台上有4个工位，每个工位的传送带由2个电机带动，分为主动轴和从动轴。旋转台转至上料工位，主从轴均需往方向1运动，带动物料运输上工位。旋转台再转至加工工位进行加工。最后旋转至下料工位，电机需往方向2运动，主从轴也需要交换，才能将物料送下工位。,旋转电机，传送带，驱动器。ECAT控制器（倍福 C6030 PLC ）,,双轴张力控制精度有要求，要求驱动器双轴的性能同步达标。高运行节拍（1s），客户关心最终纸张收卷定位精度不是很高（5um）,迈为,,,,
161,送料并精准切料,,飞达设备（供料器）,"半导体设备, 3C设备",,根据需求规格，保持一定间隔，按规定时间把物料逐个送出，整型并切断，完成送料和切料的动作。,旋转电机，驱动器，脉冲型PLC,,高频运行，并精准定位进行切割（定位精度需达到±0.05mm），需适应多个长度的物料。客户通过测试设备运行CPK与切料精度验收设备。,,,,,
162,摄像头的俯仰和旋转动作,,重型云台,其他,军工,水平和垂直运动，实现云台的俯仰和旋转,旋转电机+同步带+涡轮蜗杆，驱动器，脉冲型控制卡,,运行精度要求不高，负载很重，要求较高速运行时速度波动不能很大，重复定位精度满足要求即可,,,,,
163,转台定位使天线对准信号发射器,,车载雷达转台,其他,军工,转台控制天线位置，以不同的角度对准信号发射器，接收信号,旋转电机，驱动器，CANopen控制器,,使用旋变编码器，要求高低温环境下工作，要求抗振动，满足车载振动标准。,,,,,
164,振镜旋转控制。激光入射到连续旋转的多棱镜的表面上，经反射在地面上形成一条条连续的、平行的扫描线。,,激光振镜,激光设备,,旋转电机控制振镜旋转,直流无刷电机，棱镜，驱动器，脉冲控制卡,,PWM调解振镜旋转速度。客户要求速度波动万分之一误差精度。,大族思特,,,,
165,机器人关节控制,,外骨骼机器人,医药器械,,控制关节旋转运行，需跟随信号调节输出力矩，带动关节运动,旋转力矩电机，驱动器，CANopen控制卡,,要求力矩输出的实时性和跟随形较高，需要减少电机齿槽力波动，实现关节运动平滑无阻力,,,,,
166, 旋转实现转塔上每一个物料都能得到加工，下压实现物料在测试站进行测试,,转塔式测试分选机,3C设备,,伺服凸轮控制方案，独立升降，中心电机选用DDR，升降工位电机搭配伺服凸轮完成多轴升降联动。全直驱方案，独立升降，中心电机及升降工位均采用直驱电机控制，更高效率地完成加工控制。,音圈电机，旋转电机，驱动器，ECAT控制器,,高运行节拍，同时要求高精度的压力控制，移动、测试时间为ms级（移动9ms，测试30ms），并需满足5um内的重复定位精度,,,,,
167,检测工位摆臂电机带动检测相机进行跟随运动，转塔高速旋转带动药瓶试剂离心运动,,灯检机,医药器械,,转塔高速旋转，检测电机跟随来回运行，需保证一定时间内，检测电机检测范围内，相机与药瓶相对静止，相机拍照检测药瓶内是否存在杂质，检测完成后检测电机再高速往回运行至下一检测范围,旋转电机，摆臂电机，驱动器，控制器,,检测时检测电机的运行速度要与转塔运行速度保持一致，均平稳高速运行,,,,,
168,油墨推压动作,,打印机,"印刷, 制造业",,通过伺服电机替代原用的气动设备推压油墨，减少人工操作,24V旋转电机，驱动器，控制器,,要求安全电压,,,,,
169,检测工位,,焊片机,3C设备,,检测焊点良率，音圈电机微动带动相机进行检测,音圈电机，驱动器，控制器,,有力控要求，和按键检测类似，检测工位目前较多都是这类解决方案，要求相似,,,,,
170,控制调制器运行，经过多级光纤放大器，环形器，带动望远镜运行扫描空气中的微粒,,激光风能扫描仪（激光测风仪）,激光设备,,电机具体动作不清楚，带动激光器（望远镜）精细扫描前方测量范围，通过获取的信号测算风力,调制器，驱动器，控制器,,对末端稳定性有高要求，即驱动控制的调制器需稳定运行，经过多级传动到末端要求平稳，还需考虑机场、海上等应用环境的振动。,牧镭,,,,
171,行李翻转,,机场行李输送线,物流,,行李输送线分为内部线（从飞机运送下来，进入内部分拣库）、外部线（从分拣库出来到到旅客面前），两段。本方案用于内部线。每个行李托盘安装一台伺服电机+伺服驱动器，在输送线运转到特定位置时，行李托盘需要实现翻转动作，把行李从托盘中卸下来,直流伺服电机（现用韩国品牌，正在测试我司国产品牌）、伺服驱动器（原用Coply，现用我司产品替代）、行李翻转机构、行李托盘,,需要实现50轴以上联动，稳定运行,项目名称：CN-E-23-C-CDJC,,,,
172,检测工位,,细胞检测仪,医药器械,,步进运动带动相机进行检测,XY直线电机+音圈电机，驱动器，脉冲控制器,,要求力控精度，且分3N、30N、50N不同的压力等级,,,,,
173,物品输送和顶升两个功能,,物流输送顶升系统,物流,,用于电商大仓内的物流输送，物品输送到顶升工位，由顶升系统顶起，并传送到分拣工位,"1、滚动电机+伺服驱动器+传送带
2、旋转伺服电机+伺服驱动器+顶升机构",,采用Can通讯，50轴以上联动，对成本要求高，驱动器成本在200-300元,,,,,
174,在一定力度下反复多次按压被检对象,,手机屏幕/笔记本电脑触摸板的按压检测设备,3C设备,,通过反复多次按压，检测手机屏幕或笔记本电脑触摸板的性能,直线电机+直流伺服驱动器+力传感器，实现闭环力控,,"1，闭环力控，力控精度在0.4-1克之间
2，多次按压，力控误差要控制在一定范围，确保良品率",,,,,
